,Location,Dis No,Lat,Long
646, Michigan,2003-0829-USA,44.25,-85.5
647, Missouri,2003-0829-USA,38.25,-92.5
648, Mississippi,2003-0829-USA,32.75,-89.75
649, New York,2003-0829-USA,40.71,-74.01
650, Tennessee,2003-0829-USA,35.75,-86.25
651,Texas,2003-0829-USA,31.25,-99.25
652, Pennsylvania,2003-0829-USA,40.27,-76.91
653, Nebraska,2003-0829-USA,41.5,-99.75
655,Allen,2003-0334-USA,41.07,-85.01
656, Carroll,2003-0334-USA,42.07,-94.87
657, Adams,2003-0334-USA,42.62,-73.12
658, Cass,2003-0334-USA,38.4,-79.91
659, Howard,2003-0334-USA,44.54,-88.09
660, Tipton,2003-0334-USA,52.53,-2.07
661, Wells,2003-0334-USA,51.21,-2.65
662, Miami,2003-0334-USA,25.77,-80.19
663, Boone,2003-0334-USA,36.22,-81.67
664, Jennings,2003-0334-USA,38.72,-90.26
665, Clay,2003-0334-USA,33.7,-86.6
667, Huntington,2003-0334-USA,38.42,-82.45
669, Allen,2003-0334-USA,33.1,-96.67
671, Van Wert,2003-0334-USA,40.87,-84.58
673, Mercer,2003-0334-USA,41.23,-80.24
675, Mercer,2003-0334-USA,41.23,-80.24
676, Shelby,2003-0334-USA,42.67,-83.03
677, Logan,2003-0334-USA,41.74,-111.83
678, Hamilton,2003-0334-USA,43.23,-79.95
680,North Carolina,2003-0468-USA,35.5,-80
681, Maryland,2003-0468-USA,39,-76.75
682, Virginia,2003-0468-USA,37.55,-77.45
683, West Virginia,2003-0468-USA,38.5,-80.5
684, Delaware,2003-0468-USA,39,-75.5
685, Pennsylvania,2003-0468-USA,40.27,-76.91
686, New Jersey,2003-0468-USA,40.17,-74.5
688,Orleans,2003-0782-USA,30.03,-89.95
690, Terrebonne,2003-0782-USA,45.7,-73.65
693, Hancock,2003-0782-USA,47.13,-88.58
694, Harrison,2003-0782-USA,40.97,-73.71
695, Jackson,2003-0782-USA,32.3,-90.18
699, Mobile,2003-0782-USA,30.69,-88.04
700, Baldwin,2003-0782-USA,40.66,-73.61
702, Sumter,2003-0782-USA,33.92,-80.34
704, Fulton,2003-0782-USA,38.85,-91.95
705, DeKalb,2003-0782-USA,41.93,-88.75
706, Cobb,2003-0782-USA,38.82,-122.72
707, Clayton,2003-0782-USA,35.65,-78.46
710,Morgan,2003-0741-USA,39.72,-90.22
711, Leslie,2003-0741-USA,42.45,-84.43
714, Wayne,2003-0741-USA,40.93,-74.28
717, Lincoln,2003-0741-USA,40.8,-96.67
720, Tazewell,2003-0741-USA,37.11,-81.52
721, Wise,2003-0741-USA,36.98,-82.58
723, Alabama,2003-0741-USA,32.75,-86.75
724, Connecticut,2003-0741-USA,41.67,-72.67
725, Delaware,2003-0741-USA,39,-75.5
726, Florida,2003-0741-USA,28.75,-82.5
727, Georgia,2003-0741-USA,32.75,-83.5
728, Massachusetts,2003-0741-USA,42.37,-71.11
729, Maryland,2003-0741-USA,39,-76.75
730, North Carolina,2003-0741-USA,35.5,-80
731, New Hampshire,2003-0741-USA,43.67,-71.5
732, New Jersey,2003-0741-USA,40.17,-74.5
